Wall time,Step,Value
1512929343.0025787,15182,-100.0
1512929369.4649258,15250,-83.0
1512929370.4999084,15261,-27.0
1512929394.6147387,15304,9.0
1512929394.9271317,15307,-27.0
1512929479.0894437,15495,-16.0
1512929479.8342981,15502,-2.0
1512929483.1015992,15535,2.0
1512929484.4647152,15548,-56.0
1512929507.2424347,15578,5.0
1512929507.7229586,15583,-15.0
1512929533.1008253,15636,1.0
1512929535.9224088,15661,12.0
1512929612.5748055,15830,-80.0
1512929637.5281146,15881,-1.0
1512929691.235354,16019,-36.0
1512929718.73735,16097,-62.0
1512929768.616874,16199,51.0
1512929768.721929,16200,42.0
1512929768.8244133,16201,-56.0
1512929770.3665996,16217,-16.0
1512929822.3862753,16349,2.0
1512929847.104498,16397,2.0
1512929851.0556622,16435,-4.0
1512929873.467963,16464,-2.0
1512929901.6548812,16522,-2.0
1512929904.1245189,16547,-6.0
1512929933.3855703,16638,45.0
1512930007.1957667,16796,5.0
1512930033.4547203,16860,-63.0
1512930139.066089,17127,2.0
1512930244.960716,17402,-83.0
1512930268.063491,17438,81.0
1512930269.2471101,17449,-6.0
1512930270.6606793,17463,-1.0
1512930271.0328302,17467,100.0
1512930319.5162616,17557,-6.0
1512930320.069769,17563,43.0
1512930320.8880606,17571,2.0
1512930348.3979533,17650,8.0
1512930371.7792237,17690,-23.0
1512930400.3312569,17778,6.0
1512930502.7378879,18015,-6.0
1512930527.3459954,18067,-69.0
1512930528.0676706,18074,32.0
1512930588.906833,18231,182.0
1512930637.6665273,18317,78.0
1512930722.6944816,18558,-30.0
1512930749.1324813,18594,1.0
1512930749.2609913,18595,99.0
1512930777.628994,18655,-78.0
1512930834.0094411,18772,-2.0
1512930918.9358716,19000,-1.0
1512930948.4639726,19061,-36.0
1512931054.6025126,19293,52.0
1512931085.0258815,19378,-1.0
1512931117.3778267,19455,-49.0
1512931146.3810744,19507,-1.0
1512931146.5960186,19509,-8.0
1512931200.6904144,19645,-100.0
1512931220.9725363,19648,-2.0
1512931249.2064114,19727,1.0
1512931249.9044733,19733,2.0
1512931274.4069078,19779,-1.0
1512931279.3295465,19827,33.0
1512931304.751822,19880,-2.0
1512931305.5526845,19888,-2.0
1512931306.7104108,19899,63.0
1512931360.1592112,20027,-16.0
1512931438.6965744,20205,-6.0
1512931466.1571412,20278,-2.0
1512931488.25675,20299,-32.0
1512931488.7006483,20303,-1.0
1512931490.9718099,20326,100.0
1512931568.5559163,20500,28.0
1512931570.1233912,20516,-4.0
1512931597.627384,20592,-40.0
1512931647.6749818,20672,0.0
1512931650.0467243,20691,97.0
1512931680.5482626,20785,-1.0
1512931791.7242355,21008,-41.0
1512931795.401991,21043,2.0
1512931845.468688,21123,2.0
1512931845.5830681,21124,27.0
1512931849.4391332,21160,3.0
1512931851.6288805,21181,-1.0
1512931904.5551736,21292,13.0
1512931982.0712059,21440,-100.0
1512931984.8705134,21465,2.0
1512932065.0705588,21658,62.0
